genome_id	genome_name	accession	annotation	feature_type	seed_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	go	ec	pathway
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00003	N508_00003		2284	5073	+	2790		isoleucine-tRNA ligase				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00004	N508_00004		5074	5598	+	525		signal peptidase II				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00005	N508_00005		5600	7951	+	2352		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00006	N508_00006		8338	9900	+	1563		phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00007	N508_00007		9919	11196	+	1278		phosphoribosylamine-glycine ligase				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00008	N508_00008		11206	11703	+	498		phosphoribosylaminoimidazole carboxylase, catalytic subunit				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00009	N508_00009		11703	12275	+	573		Sua5/YciO/YrdC/YwlC family protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00010	N508_00010		12453	13391	+	939		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00011	N508_00011		13542	13904	+	363		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00012	N508_00012		14565	15503	+	939		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00013	N508_00013		15647	17158	+	1512		sodium/proline symporter				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00014	N508_00014		17704	18936	-	1233		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00015	N508_00015		19035	19511	-	477		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00016	N508_00016		19611	22244	-	2634		alanine-tRNA ligase				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00017	N508_00017		22652	23026	+	375		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00018	N508_00018		23080	24684	-	1605		phosphoenolpyruvate carboxykinase (ATP)				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00019	N508_00019		24909	25793	-	885		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00020	N508_00020		25953	26900	+	948		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00021	N508_00021		26976	28361	-	1386		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00022	N508_00022		28782	29204	+	423		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00023	N508_00023		29286	30314	-	1029		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00024	N508_00024		30504	31745	+	1242		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00025	N508_00025		32193	32483	-	291		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00026	N508_00026		32544	32963	-	420		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00027	N508_00027		33080	34519	-	1440		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00028	N508_00028		34610	35875	-	1266		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00029	N508_00029		36070	37203	+	1134		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00030	N508_00030		37733	39193	+	1461		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00031	N508_00031		39261	41639	+	2379		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00032	N508_00032		41867	42427	+	561		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00033	N508_00033		42976	44766	-	1791		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00034	N508_00034		44711	45259	-	549		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00035	N508_00035		45270	46499	-	1230		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00036	N508_00036		46496	47185	-	690		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000001	RefSeq	CDS		N508_00037	N508_00037		47347	47994	-	648		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00038	N508_00038		9	815	-	807		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00039	N508_00039		945	1052	-	108		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00040	N508_00040		1263	2321	+	1059		tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00041	N508_00041		2346	2837	+	492		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00042	N508_00042		2849	3637	+	789		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00043	N508_00043		3618	4199	+	582		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00044	N508_00044		4566	5684	-	1119		lipid-A-disaccharide synthase				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00045	N508_00045		5703	6650	-	948		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00046	N508_00046		6688	7716	-	1029		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00047	N508_00047		7744	8064	-	321		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00048	N508_00048		8081	9073	-	993		hydrogenase expression/formation protein HypE				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00049	N508_00049		9081	10166	-	1086		hydrogenase expression/formation protein HypD				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00050	N508_00050		10144	10377	-	234		hydrogenase assembly chaperone HypC/HupF				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00051	N508_00051		10752	11690	-	939		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00052	N508_00052		11783	12250	-	468		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00053	N508_00053		12391	12807	-	417		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00054	N508_00054		12884	13525	-	642		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00055	N508_00055		13729	14025	-	297		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00056	N508_00056		14333	15178	-	846		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00057	N508_00057		15206	15595	-	390		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00059	N508_00059		16294	16551	-	258		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00060	N508_00060		16569	17237	-	669		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00061	N508_00061		17227	17697	-	471		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00062	N508_00062		17845	18750	-	906		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00063	N508_00063		18872	19354	-	483		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000002	RefSeq	CDS		N508_00064	N508_00064		19612	20094	-	483		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000003	RefSeq	CDS		N508_00065	N508_00065		1	417	-	417		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000003	RefSeq	CDS		N508_00066	N508_00066		535	1653	-	1119		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000003	RefSeq	CDS		N508_00067	N508_00067		1990	2169	-	180		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000004	RefSeq	CDS		N508_00068	N508_00068		1	1012	-	1012		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000004	RefSeq	CDS		N508_00069	N508_00069		1130	2242	-	1113		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000004	RefSeq	CDS		N508_00070	N508_00070		2242	3636	-	1395		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000004	RefSeq	CDS		N508_00071	N508_00071		3750	4691	-	942		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000004	RefSeq	CDS		N508_00072	N508_00072		4707	5111	-	405		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000004	RefSeq	CDS		N508_00073	N508_00073		5203	5904	-	702		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000004	RefSeq	CDS		N508_00074	N508_00074		5983	6751	-	769		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000005	RefSeq	CDS		N508_00075	N508_00075		1	503	-	503		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000005	RefSeq	CDS		N508_00076	N508_00076		611	1657	-	1047		cytochrome c-type biogenesis protein CcsB				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000005	RefSeq	CDS		N508_00077	N508_00077		1673	3028	-	1356		hypothetical protein				
1379858.3	Mucispirillum schaedleri ASF457	AYGZ01000005	RefSeq	CDS		N508_00078	N508_00078		3188	5047	-	1860		hypothetical protein				
